input;Ray at angle: 90;Ray at angle: 81;Ray at angle: 99;Ray at angle: 72;Ray at angle: 108;Ray at angle: 63;Ray at angle: 117;Ray at angle: 54;Ray at angle: 126;Ray at angle: 45;Ray at angle: 135;Ray at angle: 36;Ray at angle: 144;Ray at angle: 27;Ray at angle: 153;Ray at angle: 18;Ray at angle: 162;Ray at angle: 9;Ray at angle: 171;Ray at angle: 0;Ray at angle: 180
0;1;0.6276305;1;0.4339037;0.9909996;0.3301864;0.4606075;0.2679628;0.3193097;0.2280056;0.2545545;0.201645;0.218432;0.184104;0.1970327;0.1734404;0.1834031;0.1684712;0.1751607;0.1682011;0.1716684
0;1;0.6266856;1;0.4333934;0.9933044;0.3298713;0.4615032;0.2677561;0.3196762;0.2278811;0.2547153;0.2015848;0.2185541;0.1839775;0.1969692;0.1734432;0.1834717;0.1682936;0.1752295;0.1681002;0.1716576
0;1;0.6266856;1;0.4333934;0.9933044;0.3298713;0.4615032;0.2677561;0.3196762;0.2278811;0.2547153;0.2015848;0.2185541;0.1839775;0.1969692;0.1734432;0.1834717;0.1682936;0.1752295;0.1681002;0.1716576
0;1;0.6257104;1;0.4328562;0.9955299;0.3295401;0.4623957;0.2675391;0.3200441;0.2277503;0.2549992;0.2015235;0.2186767;0.1839282;0.197007;0.1732722;0.1835415;0.1682216;0.1753004;0.1679959;0.1717223
0;1;0.6247209;1;0.4322977;0.9984152;0.329196;0.4633161;0.2673139;0.3206627;0.2276147;0.2551487;0.2014601;0.2188035;0.1838773;0.1970564;0.1731741;0.183614;0.1681475;0.1753742;0.1678884;0.171791
0;1;0.6247209;1;0.4322977;0.9984152;0.329196;0.4633161;0.2673139;0.3206627;0.2276147;0.2551487;0.2014601;0.2188035;0.1838773;0.1970564;0.1731741;0.183614;0.1681475;0.1753742;0.1678884;0.171791
0;1;0.6237996;1;0.4317575;1;0.3288741;0.4645026;0.2670949;0.3208258;0.2274837;0.2553867;0.2014011;0.2189385;0.183829;0.19711;0.173079;0.1836833;0.1680723;0.1754514;0.1677776;0.1718625
0;1;0.6226535;1;0.4313316;1;0.3285961;0.4652308;0.2668328;0.32121;0.2273251;0.2556149;0.2013243;0.2190678;0.1837693;0.1971592;0.1729759;0.1837307;0.1679929;0.1755294;0.1676649;0.1719362
0;1;0.6226535;1;0.4313316;1;0.3285961;0.4652308;0.2668328;0.32121;0.2273251;0.2556149;0.2013243;0.2190678;0.1837693;0.1971592;0.1729759;0.1837307;0.1679929;0.1755294;0.1676649;0.1719362
0;1;0.6204787;1;0.4298316;1;0.3276828;0.4672865;0.2663262;0.3220558;0.2271457;0.2561147;0.2011832;0.2193552;0.1836575;0.1972704;0.1728083;0.1838349;0.1678312;0.1756953;0.1674299;0.1720911
0;1;0.6194273;1;0.429206;1;0.3273021;0.4685706;0.2660772;0.3224967;0.2268767;0.2563753;0.2011169;0.2194993;0.1836039;0.1973284;0.1727606;0.1838892;0.1677866;0.1757818;0.1673074;0.1721718
0;1;0.6194273;1;0.429206;1;0.3273021;0.4685706;0.2660772;0.3224967;0.2268767;0.2563753;0.2011169;0.2194993;0.1836039;0.1973284;0.1727606;0.1838892;0.1677866;0.1757818;0.1673074;0.1721718
0;1;0.6182103;1;0.4284957;1;0.3268714;0.4694197;0.2658468;0.3229961;0.2266942;0.256635;0.2010377;0.2196464;0.183542;0.1973849;0.1727075;0.1839431;0.1676618;0.1759992;0.1671828;0.1722546
0;1;0.6182103;1;0.4284957;1;0.3268714;0.4694197;0.2658468;0.3229961;0.2266942;0.256635;0.2010377;0.2196464;0.183542;0.1973849;0.1727075;0.1839431;0.1676618;0.1759992;0.1671828;0.1722546
0;1;0.6170911;1;0.4278311;1;0.3264666;0.4705734;0.2655332;0.3234842;0.2265236;0.2569155;0.2009668;0.2198056;0.1835504;0.1974481;0.1726567;0.1840017;0.167574;0.1759638;0.1671446;0.1723401
0;1;0.6158606;1;0.4271096;1;0.3260291;0.47171;0.2652488;0.3240071;0.2263404;0.2571921;0.2010053;0.2199618;0.1834226;0.1975082;0.1726033;0.1840584;0.1674841;0.1760431;0.1669254;0.1724262
0;1;0.6158606;1;0.4271096;1;0.3260291;0.47171;0.2652488;0.3240071;0.2263404;0.2571921;0.2010053;0.2199618;0.1834226;0.1975082;0.1726033;0.1840584;0.1674841;0.1760431;0.1669254;0.1724262
0;1;0.6147248;1;0.426432;1;0.3256159;0.4729396;0.2649786;0.324569;0.2261661;0.2575075;0.20081;0.2201305;0.1833611;0.1975752;0.1725514;0.1841202;0.1673926;0.1761275;0.1667912;0.1725157
0;1;0.6134922;1;0.425701;1;0.3251698;0.4741882;0.2646871;0.3251423;0.2259771;0.257795;0.2006603;0.2203046;0.1832923;0.1976967;0.1724939;0.1843105;0.1672958;0.1762165;0.1666518;0.1726102
0;1;0.6134922;1;0.425701;1;0.3251698;0.4741882;0.2646871;0.3251423;0.2259771;0.257795;0.2006603;0.2203046;0.1832923;0.1976967;0.1724939;0.1843105;0.1672958;0.1762165;0.1666518;0.1726102
0;1;0.6123216;1;0.4249969;1;0.3247381;0.4755083;0.2644031;0.3257466;0.2257926;0.2581174;0.2005124;0.2205003;0.1832249;0.1977235;0.1724362;0.1842566;0.1671962;0.1763103;0.1665069;0.1727089
0;1;0.6123216;1;0.4249969;1;0.3247381;0.4755083;0.2644031;0.3257466;0.2257926;0.2581174;0.2005124;0.2205003;0.1832249;0.1977235;0.1724362;0.1842566;0.1671962;0.1763103;0.1665069;0.1727089
0;1;0.6110737;1;0.4242517;1;0.3245135;0.4768511;0.2641038;0.3263621;0.2255981;0.2584455;0.2003574;0.2206884;0.1831536;0.1978019;0.1723759;0.1843273;0.1670996;0.176406;0.166375;0.1729506
0;1;0.6110737;1;0.4242517;1;0.3245135;0.4768511;0.2641038;0.3263621;0.2255981;0.2584455;0.2003574;0.2206884;0.1831536;0.1978019;0.1723759;0.1843273;0.1670996;0.176406;0.166375;0.1729506
0;1;0.6098447;1;0.4235129;1;0.3238522;0.4782386;0.2638062;0.3269957;0.2254047;0.2587833;0.2002026;0.2208912;0.1830833;0.1978831;0.1723156;0.1844006;0.1669769;0.1765042;0.1662351;0.1729162
0;1;0.6085615;1;0.4227445;1;0.3233353;0.4796554;0.2634973;0.3276798;0.2252041;0.2591283;0.2000423;0.2210984;0.18301;0.1979658;0.1722534;0.1844753;0.1668542;0.1766657;0.166132;0.1730193
0;1;0.6085615;1;0.4227445;1;0.3233353;0.4796554;0.2634973;0.3276798;0.2252041;0.2591283;0.2000423;0.2210984;0.18301;0.1979658;0.1722534;0.1844753;0.1668542;0.1766657;0.166132;0.1730193
0;1;0.6072644;1;0.4219665;1;0.3228222;0.4811004;0.2632904;0.328304;0.2250008;0.2596205;0.1998798;0.2213095;0.182936;0.1980499;0.1721984;0.1845515;0.166766;0.1767105;0.1660268;0.1731276
0;1;0.6072644;1;0.4219665;1;0.3228222;0.4811004;0.2632904;0.328304;0.2250008;0.2596205;0.1998798;0.2213095;0.182936;0.1980499;0.1721984;0.1845515;0.166766;0.1767105;0.1660268;0.1731276
0;1;0.6059266;1;0.4211652;1;0.3222945;0.4825755;0.2628573;0.3289773;0.2247918;0.2598892;0.199713;0.2215244;0.1828599;0.1982133;0.1721262;0.1847648;0.1665987;0.1768172;0.1659195;0.1732382
0;1;0.6059266;1;0.4211652;1;0.3222945;0.4825755;0.2628573;0.3289773;0.2247918;0.2598892;0.199713;0.2215244;0.1828599;0.1982133;0.1721262;0.1847648;0.1665987;0.1768172;0.1659195;0.1732382
0;1;0.6045569;1;0.4203455;1;0.3217547;0.4842037;0.2625006;0.3296622;0.2246277;0.2602856;0.1995423;0.2217431;0.1829363;0.1983588;0.1720606;0.1847073;0.1664627;0.1769218;0.1658099;0.1733511
0;1;0.6031514;1;0.4195051;1;0.3212016;0.4858572;0.2621352;0.3303586;0.224359;0.2606888;0.1993675;0.2219652;0.1827045;0.1985388;0.1719934;0.1847813;0.1663238;0.176993;0.1656981;0.1734663
0;1;0.6031514;1;0.4195051;1;0.3212016;0.4858572;0.2621352;0.3303586;0.224359;0.2606888;0.1993675;0.2219652;0.1827045;0.1985388;0.1719934;0.1847813;0.1663238;0.176993;0.1656981;0.1734663
0;1;0.6017118;1;0.4186445;1;0.3206354;0.4875383;0.2617613;0.3310973;0.224135;0.2610988;0.1991888;0.2221912;0.1826203;0.198722;0.1719245;0.1848565;0.1662448;0.1770655;0.1656109;0.1735838
0;1;0.6017118;1;0.4186445;1;0.3206354;0.4875383;0.2617613;0.3310973;0.224135;0.2610988;0.1991888;0.2221912;0.1826203;0.198722;0.1719245;0.1848565;0.1662448;0.1770655;0.1656109;0.1735838
0;1;0.600238;1;0.4177884;1;0.3200563;0.4892491;0.2613788;0.3318636;0.2239055;0.2615159;0.1991548;0.2224217;0.1825364;0.1989086;0.171854;0.184933;0.1661797;0.1771394;0.1654673;0.1738009
0;1;0.5987332;1;0.4172172;1;0.3194649;0.4909896;0.260988;0.3326436;0.223671;0.2619406;0.1988198;0.2226564;0.1824504;0.1990986;0.1717819;0.185011;0.1661131;0.1772148;0.165348;0.1738216
0;1;0.5987332;1;0.4172172;1;0.3194649;0.4909896;0.260988;0.3326436;0.223671;0.2619406;0.1988198;0.2226564;0.1824504;0.1990986;0.1717819;0.185011;0.1661131;0.1772148;0.165348;0.1738216
0;1;0.5971974;1;0.415948;1;0.3188611;0.4927653;0.260589;0.3334383;0.2234314;0.2623963;0.1986293;0.2228957;0.1823623;0.1992923;0.1717948;0.1850907;0.1660449;0.1772918;0.165226;0.173931
0;1;0.5956334;1;0.4150136;1;0.3182457;0.4945749;0.2601821;0.3342483;0.2231869;0.2628156;0.1984348;0.2231397;0.1822722;0.1994999;0.1716308;0.1851721;0.165975;0.1773707;0.1651013;0.1740427
0;1;0.5956334;1;0.4150136;1;0.3182457;0.4945749;0.2601821;0.3342483;0.2231869;0.2628156;0.1984348;0.2231397;0.1822722;0.1994999;0.1716308;0.1851721;0.165975;0.1773707;0.1651013;0.1740427
0;1;0.5940425;1;0.4140623;1;0.3176191;0.4964208;0.2597678;0.3350745;0.2230084;0.2632668;0.1982364;0.2233996;0.18218;0.1996916;0.1715485;0.1852554;0.1659034;0.1774514;0.164974;0.174157
0;1;0.5940425;1;0.4140623;1;0.3176191;0.4964208;0.2597678;0.3350745;0.2230084;0.2632668;0.1982364;0.2233996;0.18218;0.1996916;0.1715485;0.1852554;0.1659034;0.1774514;0.164974;0.174157
0;1;0.5924277;1;0.4130955;1;0.3170907;0.4983257;0.2593456;0.3360489;0.2226477;0.2637278;0.1980339;0.2237419;0.1821875;0.1998981;0.171464;0.1854145;0.1658298;0.1776107;0.1649395;0.1743242
0;1;0.5907866;1;0.4121112;1;0.3163328;0.5002802;0.2589832;0.336785;0.2223146;0.2642003;0.1979123;0.2240936;0.1819522;0.2001104;0.1713764;0.1854321;0.1657532;0.1776197;0.1646736;0.1743965
-0.04647381;1;0.5907866;1;0.4121112;1;0.3163328;0.5002802;0.2589832;0.336785;0.2223146;0.2642003;0.1979123;0.2240936;0.1819522;0.2001104;0.1713764;0.1854321;0.1657532;0.1776197;0.1646736;0.1743965
-0.0708776;1;0.5892608;1;0.4111646;1;0.3156942;0.5021781;0.258484;0.337645;0.2219746;0.2647426;0.1976023;0.2244572;0.1817534;0.2003368;0.1712758;0.1855376;0.1656701;0.1777232;0.1644981;0.1745408
-0.107399;1;0.5892608;1;0.4111646;1;0.3156942;0.5021781;0.258484;0.337645;0.2219746;0.2647426;0.1976023;0.2244572;0.1817534;0.2003368;0.1712758;0.1855376;0.1656701;0.1777232;0.1644981;0.1745408
-0.1470297;1;0.5883557;1;0.4103421;1;0.3151114;0.503844;0.2580781;0.3384402;0.2216414;0.2652742;0.197365;0.2248196;0.1815442;0.2005824;0.1711613;0.1856594;0.1655508;0.177849;0.1642884;0.1747135
-0.1823982;1;0.5871745;1;0.4098253;1;0.3146276;0.5051228;0.2577301;0.339467;0.2213406;0.2657424;0.1971465;0.2251501;0.181343;0.2008062;0.171049;0.1857778;0.165435;0.1779803;0.1640662;0.1748729
-0.1387659;1;0.5871745;1;0.4098253;1;0.3146276;0.5051228;0.2577301;0.339467;0.2213406;0.2657424;0.1971465;0.2251501;0.181343;0.2008062;0.171049;0.1857778;0.165435;0.1779803;0.1640662;0.1748729
-0.1051834;1;0.5866591;1;0.4092095;1;0.3142524;0.5060048;0.2574573;0.3397567;0.2210934;0.2661169;0.1969698;0.2254185;0.1811739;0.2009934;0.1710152;0.186104;0.1653409;0.1780781;0.1639535;0.1749927
-0.07090241;1;0.5866591;1;0.4092095;1;0.3142524;0.5060048;0.2574573;0.3397567;0.2210934;0.2661169;0.1969698;0.2254185;0.1811739;0.2009934;0.1710152;0.186104;0.1653409;0.1780781;0.1639535;0.1749927
-0.04488537;1;0.5862136;1;0.4087394;1;0.314165;0.5066674;0.2572462;0.3402305;0.2209015;0.2664032;0.1968455;0.2256511;0.1810538;0.201117;0.1709282;0.1860742;0.165294;0.1781195;0.1638897;0.1750574
-0.08330885;1;0.5857162;1;0.4082682;1;0.3136451;0.5072858;0.2570979;0.3406617;0.2207365;0.2666498;0.1967498;0.2257738;0.1809629;0.2012038;0.170923;0.1861645;0.1652789;0.1781233;0.163859;0.1750837
-0.1196839;1;0.5857162;1;0.4082682;1;0.3136451;0.5072858;0.2570979;0.3406617;0.2207365;0.2666498;0.1967498;0.2257738;0.1809629;0.2012038;0.170923;0.1861645;0.1652789;0.1781233;0.163859;0.1750837
-0.1489553;1;0.5858943;1;0.4078548;1;0.3133402;0.5078047;0.2568368;0.3410661;0.2205733;0.2669379;0.196651;0.2259365;0.1808707;0.201299;0.1709094;0.1862666;0.1652522;0.1781412;0.1638138;0.1751274
-0.1843432;1;0.5858943;1;0.4078548;1;0.3133402;0.5078047;0.2568368;0.3410661;0.2205733;0.2669379;0.196651;0.2259365;0.1808707;0.201299;0.1709094;0.1862666;0.1652522;0.1781412;0.1638138;0.1751274
-0.1440828;1;0.5853869;1;0.4075884;1;0.313106;0.5080554;0.2566288;0.3413793;0.2204242;0.2671018;0.1965674;0.2260914;0.1807606;0.2013999;0.1708841;0.1863834;0.1652015;0.1781813;0.1637437;0.1752001
-0.1101823;1;0.5853869;1;0.4075884;1;0.313106;0.5080554;0.2566288;0.3413793;0.2204242;0.2671018;0.1965674;0.2260914;0.1807606;0.2013999;0.1708841;0.1863834;0.1652015;0.1781813;0.1637437;0.1752001
-0.07239355;1;0.585497;1;0.4073944;1;0.312931;0.5081096;0.2564703;0.3416013;0.220319;0.2672414;0.1964986;0.2261911;0.1806926;0.2015051;0.1708945;0.1864579;0.1651844;0.1782816;0.1637063;0.1752344
-0.03807731;1;0.5855557;1;0.4071955;1;0.3127685;0.5081386;0.256331;0.3417677;0.2202365;0.2673486;0.1964672;0.2262906;0.1806499;0.2014768;0.1709479;0.1865015;0.1651951;0.1781486;0.1637003;0.1752345
0;1;0.5855557;1;0.4071955;1;0.3127685;0.5081386;0.256331;0.3417677;0.2202365;0.2673486;0.1964672;0.2262906;0.1806499;0.2014768;0.1709479;0.1865015;0.1651951;0.1781486;0.1637003;0.1752345
0;1;0.5853289;1;0.4071251;1;0.3125606;0.5083903;0.2561775;0.3420035;0.2201568;0.2674722;0.1964491;0.226382;0.1806272;0.2014797;0.1709027;0.1865181;0.1652366;0.1780818;0.163726;0.1751943
0;1;0.5853289;1;0.4071251;1;0.3125606;0.5083903;0.2561775;0.3420035;0.2201568;0.2674722;0.1964491;0.226382;0.1806272;0.2014797;0.1709027;0.1865181;0.1652366;0.1780818;0.163726;0.1751943
0;1;0.5848154;1;0.406438;1;0.3122714;0.5089749;0.2559736;0.3423699;0.220036;0.2677168;0.1964095;0.2265141;0.1806436;0.2015063;0.1708504;0.1865496;0.1652751;0.1780209;0.1637552;0.1751548
0;1;0.5848154;1;0.406438;1;0.3122714;0.5089749;0.2559736;0.3423699;0.220036;0.2677168;0.1964095;0.2265141;0.1806436;0.2015063;0.1708504;0.1865496;0.1652751;0.1780209;0.1637552;0.1751548
0;1;0.5840415;1;0.4058495;1;0.3121537;0.5099016;0.255752;0.3429371;0.2198397;0.2680485;0.1963697;0.2267023;0.1805148;0.2016037;0.1707768;0.1866114;0.1653303;0.1779818;0.1637714;0.1751401
0;1;0.5830394;1;0.405132;1;0.3114309;0.511154;0.2553827;0.3435544;0.2195963;0.2684681;0.1961583;0.2269507;0.1803998;0.201793;0.1706768;0.1867108;0.1652966;0.1779975;0.1637681;0.1751281
0;1;0.5830394;1;0.405132;1;0.3114309;0.511154;0.2553827;0.3435544;0.2195963;0.2684681;0.1961583;0.2269507;0.1803998;0.201793;0.1706768;0.1867108;0.1652966;0.1779975;0.1637681;0.1751281
0;1;0.5819532;1;0.4043005;1;0.3108893;0.5126953;0.2549991;0.3443563;0.2193079;0.2689695;0.1959224;0.2272565;0.1802542;0.2020382;0.1705502;0.1868541;0.1652734;0.1781238;0.1637444;0.1751474
0;1;0.5819532;1;0.4043005;1;0.3108893;0.5126953;0.2549991;0.3443563;0.2193079;0.2689695;0.1959224;0.2272565;0.1802542;0.2020382;0.1705502;0.1868541;0.1652734;0.1781238;0.1637444;0.1751474
0;1;0.5804771;1;0.4036285;1;0.3102798;0.5144832;0.254565;0.3452719;0.21898;0.2695417;0.195654;0.2276124;0.1800812;0.2023227;0.1703999;0.1870296;0.1652297;0.1782815;0.1636976;0.1751888
-0.03816672;1;0.578968;1;0.4023553;1;0.3096142;0.5165184;0.2540903;0.3462751;0.2186209;0.2703683;0.1953603;0.228006;0.1798876;0.2026364;0.1702322;0.1872282;0.1651713;0.178459;0.1636358;0.175246
-0.07218686;1;0.578968;1;0.4023553;1;0.3096142;0.5165184;0.2540903;0.3462751;0.2186209;0.2703683;0.1953603;0.228006;0.1798876;0.2026364;0.1702322;0.1872282;0.1651713;0.178459;0.1636358;0.175246
-0.1110482;1;0.5775419;1;0.4013424;1;0.3090013;0.5185603;0.2536801;0.3474142;0.2182286;0.2708402;0.1950316;0.2284431;0.1796584;0.202994;0.1700276;0.1874706;0.1652354;0.1786818;0.1635343;0.1754778
-0.139061;1;0.5775419;1;0.4013424;1;0.3090013;0.5185603;0.2536801;0.3474142;0.2182286;0.2708402;0.1950316;0.2284431;0.1796584;0.202994;0.1700276;0.1874706;0.1652354;0.1786818;0.1635343;0.1754778
-0.177793;1;0.5764471;1;0.4004533;1;0.3082464;0.520326;0.2530665;0.3482941;0.2178347;0.271497;0.1946891;0.2290239;0.1794965;0.203544;0.1697965;0.187742;0.1649014;0.1789939;0.163396;0.1754979
-0.2137607;1;0.5758079;1;0.3997661;1;0.3076413;0.5215982;0.25258;0.349097;0.2174759;0.2721025;0.1945338;0.2293988;0.1791681;0.2037333;0.1695644;0.1881107;0.1646523;0.1792066;0.1632438;0.1756631
-0.2415516;1;0.5758079;1;0.3997661;1;0.3076413;0.5215982;0.25258;0.349097;0.2174759;0.2721025;0.1945338;0.2293988;0.1791681;0.2037333;0.1695644;0.1881107;0.1646523;0.1792066;0.1632438;0.1756631
-0.2766302;1;0.5759415;1;0.3993758;1;0.3071684;0.522465;0.2521515;0.3498304;0.2171362;0.2726953;0.1940347;0.2299041;0.1789043;0.2041396;0.1693347;0.1883376;0.1643527;0.179542;0.1630444;0.1759102
